paper_title,paper_authors
Augmenting Colonoscopy Using Extended and Directional CycleGAN for Lossy Image Translation,"Shawn Mathew, Saad Nadeem, Sruti Kumari, Arie Kaufman"
Learning Geocentric Object Pose in Oblique Monocular Images,"Gordon Christie, Rodrigo Rene Rai Munoz Abujder, Kevin Foster, Shea Hagstrom, Gregory D. Hager, Myron Z. Brown"
Deep Facial Non-Rigid Multi-View Stereo,"Ziqian Bai, Zhaopeng Cui, Jamal Ahmed Rahim, Xiaoming Liu, Ping Tan"
BANet: Bidirectional Aggregation Network With Occlusion Handling for Panoptic Segmentation,"Yifeng Chen, Guangchen Lin, Songyuan Li, Omar Bourahla, Yiming Wu, Fangfang Wang, Junyi Feng, Mingliang Xu, Xi Li"
DPGN: Distribution Propagation Graph Network for Few-Shot Learning,"Ling Yang, Liangliang Li, Zilun Zhang, Xinyu Zhou, Erjin Zhou, Yu Liu"
Deep Shutter Unrolling Network,"Peidong Liu, Zhaopeng Cui, Viktor Larsson, Marc Pollefeys"
C2FNAS: Coarse-to-Fine Neural Architecture Search for 3D Medical Image Segmentation,"Qihang Yu, Dong Yang, Holger Roth, Yutong Bai, Yixiao Zhang, Alan L. Yuille, Daguang Xu"
Cross-Domain Document Object Detection: Benchmark Suite and Method,"Kai Li, Curtis Wigington, Chris Tensmeyer, Handong Zhao, Nikolaos Barmpalios, Vlad I. Morariu, Varun Manjunatha, Tong Sun, Yun Fu"
BlendMask: Top-Down Meets Bottom-Up for Instance Segmentation,"Hao Chen, Kunyang Sun, Zhi Tian, Chunhua Shen, Yongming Huang, Youliang Yan"
Seeing the World in a Bag of Chips,"Jeong Joon Park, Aleksander Holynski, Steven M. Seitz"
On Translation Invariance in CNNs: Convolutional Layers Can Exploit Absolute Spatial Location,"Osman Semih Kayhan, Jan C. van Gemert"
Towards Learning Structure via Consensus for Face Segmentation and Parsing,"Iacopo Masi, Joe Mathai, Wael AbdAlmageed"
Cascaded Deep Video Deblurring Using Temporal Sharpness Prior,"Jinshan Pan, Haoran Bai, Jinhui Tang"
"Classifying, Segmenting, and Tracking Object Instances in Video with Mask Propagation","Gedas Bertasius, Lorenzo Torresani"
Pixel Consensus Voting for Panoptic Segmentation,"Haochen Wang, Ruotian Luo, Michael Maire, Greg Shakhnarovich"
Reflection Scene Separation From a Single Image,"Renjie Wan, Boxin Shi, Haoliang Li, Ling-Yu Duan, Alex C. Kot"
WaveletStereo: Learning Wavelet Coefficients of Disparity Map in Stereo Matching,"Menglong Yang, Fangrui Wu, Wei Li"
Towards Unsupervised Learning of Generative Models for 3D Controllable Image Synthesis,"Yiyi Liao, Katja Schwarz, Lars Mescheder, Andreas Geiger"
SmallBigNet: Integrating Core and Contextual Views for Video Classification,"Xianhang Li, Yali Wang, Zhipeng Zhou, Yu Qiao"
Connect-and-Slice: An Hybrid Approach for Reconstructing 3D Objects,"Hao Fang, Florent Lafarge"
Exploit Clues From Views: Self-Supervised and Regularized Learning for Multiview Object Recognition,"Chih-Hui Ho, Bo Liu, Tz-Ying Wu, Nuno Vasconcelos"
From Two Rolling Shutters to One Global Shutter,"Cenek Albl, Zuzana Kukelova, Viktor Larsson, Michal Polic, Tomas Pajdla, Konrad Schindler"
Learning Instance Occlusion for Panoptic Segmentation,"Justin Lazarow, Kwonjoon Lee, Kunyu Shi, Zhuowen Tu"
SampleNet: Differentiable Point Cloud Sampling,"Itai Lang, Asaf Manor, Shai Avidan"
CvxNet: Learnable Convex Decomposition,"Boyang Deng, Kyle Genova, Soroosh Yazdani, Sofien Bouaziz, Geoffrey Hinton, Andrea Tagliasacchi"
Graph Embedded Pose Clustering for Anomaly Detection,"Amir Markovitz, Gilad Sharir, Itamar Friedman, Lihi Zelnik-Manor, Shai Avidan"
Guided Variational Autoencoder for Disentanglement Learning,"Zheng Ding, Yifan Xu, Weijian Xu, Gaurav Parmar, Yang Yang, Max Welling, Zhuowen Tu"
RoboTHOR: An Open Simulation-to-Real Embodied AI Platform,"Matt Deitke, Winson Han, Alvaro Herrasti, Aniruddha Kembhavi, Eric Kolve, Roozbeh Mottaghi, Jordi Salvador, Dustin Schwenk, Eli VanderBilt, Matthew Wallingford, Luca Weihs, Mark Yatskar, Ali Farhadi"
Graph Structured Network for Image-Text Matching,"Chunxiao Liu, Zhendong Mao, Tianzhu Zhang, Hongtao Xie, Bin Wang, Yongdong Zhang"
Online Deep Clustering for Unsupervised Representation Learning,"Xiaohang Zhan, Jiahao Xie, Ziwei Liu, Yew-Soon Ong, Chen Change Loy"
Style Normalization and Restitution for Generalizable Person Re-Identification,"Xin Jin, Cuiling Lan, Wenjun Zeng, Zhibo Chen, Li Zhang"
BFBox: Searching Face-Appropriate Backbone and Feature Pyramid Network for Face Detector,"Yang Liu, Xu Tang"
A Disentangling Invertible Interpretation Network for Explaining Latent Representations,"Patrick Esser, Robin Rombach, Bjorn Ommer"
Training Noise-Robust Deep Neural Networks via Meta-Learning,"Zhen Wang, Guosheng Hu, Qinghua Hu"
End-to-End Adversarial-Attention Network for Multi-Modal Clustering,"Runwu Zhou, Yi-Dong Shen"
SynSin: End-to-End View Synthesis From a Single Image,"Olivia Wiles, Georgia Gkioxari, Richard Szeliski, Justin Johnson"
HUMBI: A Large Multiview Dataset of Human Body Expressions,"Zhixuan Yu, Jae Shin Yoon, In Kyu Lee, Prashanth Venkatesh, Jaesik Park, Jihun Yu, Hyun Soo Park"
What You See is What You Get: Exploiting Visibility for 3D Object Detection,"Peiyun Hu, Jason Ziglar, David Held, Deva Ramanan"
HOPE-Net: A Graph-Based Model for Hand-Object Pose Estimation,"Bardia Doosti, Shujon Naha, Majid Mirbagheri, David J. Crandall"
Towards Transferable Targeted Attack,"Maosen Li, Cheng Deng, Tengjiao Li, Junchi Yan, Xinbo Gao, Heng Huang"
Visual Grounding in Video for Unsupervised Word Translation,"Gunnar A. Sigurdsson, Jean-Baptiste Alayrac, Aida Nematzadeh, Lucas Smaira, Mateusz Malinowski, Joao Carreira, Phil Blunsom, Andrew Zisserman"
Auto-Tuning Structured Light by Optical Stochastic Gradient Descent,"Wenzheng Chen, Parsa Mirdehghan, Sanja Fidler, Kiriakos N. Kutulakos"
Supervised Raw Video Denoising With a Benchmark Dataset on Dynamic Scenes,"Huanjing Yue, Cong Cao, Lei Liao, Ronghe Chu, Jingyu Yang"
Learning Individual Speaking Styles for Accurate Lip to Speech Synthesis,"K R Prajwal, Rudrabha Mukhopadhyay, Vinay P. Namboodiri, C.V. Jawahar"
HandVoxNet: Deep Voxel-Based Network for 3D Hand Shape and Pose Estimation From a Single Depth Map,"Jameel Malik, Ibrahim Abdelaziz, Ahmed Elhayek, Soshi Shimada, Sk Aziz Ali, Vladislav Golyanik, Christian Theobalt, Didier Stricker"
FDA: Fourier Domain Adaptation for Semantic Segmentation,"Yanchao Yang, Stefano Soatto"
Adversarial Latent Autoencoders,"Stanislav Pidhorskyi, Donald A. Adjeroh, Gianfranco Doretto"
Deep 3D Portrait From a Single Image,"Sicheng Xu, Jiaolong Yang, Dong Chen, Fang Wen, Yu Deng, Yunde Jia, Xin Tong"
SGAS: Sequential Greedy Architecture Search,"Guohao Li, Guocheng Qian, Itzel C. Delgadillo, Matthias Muller, Ali Thabet, Bernard Ghanem"
Counterfactual Samples Synthesizing for Robust Visual Question Answering,"Long Chen, Xin Yan, Jun Xiao, Hanwang Zhang, Shiliang Pu, Yueting Zhuang"
AnimalWeb: A Large-Scale Hierarchical Dataset of Annotated Animal Faces,"Muhammad Haris Khan, John McDonagh, Salman Khan, Muhammad Shahabuddin, Aditya Arora, Fahad Shahbaz Khan, Ling Shao, Georgios Tzimiropoulos"
Instance Segmentation of Biological Images Using Harmonic Embeddings,"Victor Kulikov, Victor Lempitsky"
Inter-Region Affinity Distillation for Road Marking Segmentation,"Yuenan Hou, Zheng Ma, Chunxiao Liu, Tak-Wai Hui, Chen Change Loy"
MANTRA: Memory Augmented Networks for Multiple Trajectory Prediction,"Francesco Marchetti, Federico Becattini, Lorenzo Seidenari, Alberto Del Bimbo"
Rethinking Zero-Shot Video Classification: End-to-End Training for Realistic Applications,"Biagio Brattoli, Joseph Tighe, Fedor Zhdanov, Pietro Perona, Krzysztof Chalupka"
Deformation-Aware Unpaired Image Translation for Pose Estimation on Laboratory Animals,"Siyuan Li, Semih Gunel, Mirela Ostrek, Pavan Ramdya, Pascal Fua, Helge Rhodin"
Neural Point Cloud Rendering via Multi-Plane Projection,"Peng Dai, Yinda Zhang, Zhuwen Li, Shuaicheng Liu, Bing Zeng"
A Multigrid Method for Efficiently Training Video Models,"Chao-Yuan Wu, Ross Girshick, Kaiming He, Christoph Feichtenhofer, Philipp Krahenbuhl"
Few-Shot Pill Recognition,"Suiyi Ling, Andreas Pastor, Jing Li, Zhaohui Che, Junle Wang, Jieun Kim, Patrick Le Callet"
A2dele: Adaptive and Attentive Depth Distiller for Efficient RGB-D Salient Object Detection,"Yongri Piao, Zhengkun Rong, Miao Zhang, Weisong Ren, Huchuan Lu"
Attention-Aware Multi-View Stereo,"Keyang Luo, Tao Guan, Lili Ju, Yuesong Wang, Zhuo Chen, Yawei Luo"
Learn to Augment: Joint Data Augmentation and Network Optimization for Text Recognition,"Canjie Luo, Yuanzhi Zhu, Lianwen Jin, Yongpan Wang"
Continual Learning With Extended Kronecker-Factored Approximate Curvature,"Janghyeon Lee, Hyeong Gwon Hong, Donggyu Joo, Junmo Kim"
PPDM: Parallel Point Detection and Matching for Real-Time Human-Object Interaction Detection,"Yue Liao, Si Liu, Fei Wang, Yanjie Chen, Chen Qian, Jiashi Feng"
PointGMM: A Neural GMM Network for Point Clouds,"Amir Hertz, Rana Hanocka, Raja Giryes, Daniel Cohen-Or"
Domain Balancing: Face Recognition on Long-Tailed Domains,"Dong Cao, Xiangyu Zhu, Xingyu Huang, Jianzhu Guo, Zhen Lei"
PULSE: Self-Supervised Photo Upsampling via Latent Space Exploration of Generative Models,"Sachit Menon, Alexandru Damian, Shijia Hu, Nikhil Ravi, Cynthia Rudin"
