paper_title,paper_authors
VPLNet: Deep Single View Normal Estimation With Vanishing Points and Lines,"Rui Wang, David Geraghty, Kevin Matzen, Richard Szeliski, Jan-Michael Frahm"
GraspNet-1Billion: A Large-Scale Benchmark for General Object Grasping,"Hao-Shu Fang, Chenxi Wang, Minghao Gou, Cewu Lu"
Video Super-Resolution With Temporal Group Attention,"Takashi Isobe, Songjiang Li, Xu Jia, Shanxin Yuan, Gregory Slabaugh, Chunjing Xu, Ya-Li Li, Shengjin Wang, Qi Tian"
Intra- and Inter-Action Understanding via Temporal Action Parsing,"Dian Shao, Yue Zhao, Bo Dai, Dahua Lin"
Meshed-Memory Transformer for Image Captioning,"Marcella Cornia, Matteo Stefanini, Lorenzo Baraldi, Rita Cucchiara"
"TailorNet: Predicting Clothing in 3D as a Function of Human Pose, Shape and Garment Style","Chaitanya Patel, Zhouyingcheng Liao, Gerard Pons-Moll"
Graph-Guided Architecture Search for Real-Time Semantic Segmentation,"Peiwen Lin, Peng Sun, Guangliang Cheng, Sirui Xie, Xi Li, Jianping Shi"
HCNAF: Hyper-Conditioned Neural Autoregressive Flow and its Application for Probabilistic Occupancy Map Forecasting,"Geunseob Oh, Jean-Sebastien Valois"
CurricularFace: Adaptive Curriculum Learning Loss for Deep Face Recognition,"Yuge Huang, Yuhan Wang, Ying Tai, Xiaoming Liu, Pengcheng Shen, Shaoxin Li, Jilin Li, Feiyue Huang"
Polarized Reflection Removal With Perfect Alignment in the Wild,"Chenyang Lei, Xuhua Huang, Mengdi Zhang, Qiong Yan, Wenxiu Sun, Qifeng Chen"
Non-Local Neural Networks With Grouped Bilinear Attentional Transforms,"Lu Chi, Zehuan Yuan, Yadong Mu, Changhu Wang"
On the Detection of Digital Face Manipulation,"Hao Dang, Feng Liu, Joel Stehouwer, Xiaoming Liu, Anil K. Jain"
Blur Aware Calibration of Multi-Focus Plenoptic Camera,"Mathieu Labussiere, Celine Teuliere, Frederic Bernardin, Omar Ait-Aider"
Data-Free Knowledge Amalgamation via Group-Stack Dual-GAN,"Jingwen Ye, Yixin Ji, Xinchao Wang, Xin Gao, Mingli Song"
Sketch-BERT: Learning Sketch Bidirectional Encoder Representation From Transformers by Self-Supervised Learning of Sketch Gestalt,"Hangyu Lin, Yanwei Fu, Xiangyang Xue, Yu-Gang Jiang"
Single-Shot Monocular RGB-D Imaging Using Uneven Double Refraction,"Andreas Meuleman, Seung-Hwan Baek, Felix Heide, Min H. Kim"
JA-POLS: A Moving-Camera Background Model via Joint Alignment and Partially-Overlapping Local Subspaces,"Irit Chelly, Vlad Winter, Dor Litvak, David Rosen, Oren Freifeld"
Decoupled Representation Learning for Skeleton-Based Gesture Recognition,"Jianbo Liu, Yongcheng Liu, Ying Wang, Veronique Prinet, Shiming Xiang, Chunhong Pan"
Uninformed Students: Student-Teacher Anomaly Detection With Discriminative Latent Embeddings,"Paul Bergmann, Michael Fauser, David Sattlegger, Carsten Steger"
Mnemonics Training: Multi-Class Incremental Learning Without Forgetting,"Yaoyao Liu, Yuting Su, An-An Liu, Bernt Schiele, Qianru Sun"
Analyzing and Improving the Image Quality of StyleGAN,"Tero Karras, Samuli Laine, Miika Aittala, Janne Hellsten, Jaakko Lehtinen, Timo Aila"
Learning to Restore Low-Light Images via Decomposition-and-Enhancement,"Ke Xu, Xin Yang, Baocai Yin, Rynson W.H. Lau"
Orderless Recurrent Models for Multi-Label Classification,"Vacit Oguz Yazici, Abel Gonzalez-Garcia, Arnau Ramisa, Bartlomiej Twardowski, Joost van de Weijer"
Learning to Dress 3D People in Generative Clothing,"Qianli Ma, Jinlong Yang, Anurag Ranjan, Sergi Pujades, Gerard Pons-Moll, Siyu Tang, Michael J. Black"
HRank: Filter Pruning Using High-Rank Feature Map,"Mingbao Lin, Rongrong Ji, Yan Wang, Yichen Zhang, Baochang Zhang, Yonghong Tian, Ling Shao"
Exploring Category-Agnostic Clusters for Open-Set Domain Adaptation,"Yingwei Pan, Ting Yao, Yehao Li, Chong-Wah Ngo, Tao Mei"
Cross-Modal Pattern-Propagation for RGB-T Tracking,"Chaoqun Wang, Chunyan Xu, Zhen Cui, Ling Zhou, Tong Zhang, Xiaoya Zhang, Jian Yang"
AANet: Adaptive Aggregation Network for Efficient Stereo Matching,"Haofei Xu, Juyong Zhang"
Learning When and Where to Zoom With Deep Reinforcement Learning,"Burak Uzkent, Stefano Ermon"
Channel Attention Based Iterative Residual Learning for Depth Map Super-Resolution,"Xibin Song, Yuchao Dai, Dingfu Zhou, Liu Liu, Wei Li, Hongdong Li, Ruigang Yang"
Unbiased Scene Graph Generation From Biased Training,"Kaihua Tang, Yulei Niu, Jianqiang Huang, Jiaxin Shi, Hanwang Zhang"
Densely Connected Search Space for More Flexible Neural Architecture Search,"Jiemin Fang, Yuzhu Sun, Qian Zhang, Yuan Li, Wenyu Liu, Xinggang Wang"
Averaging Essential and Fundamental Matrices in Collinear Camera Settings,"Amnon Geifman, Yoni Kasten, Meirav Galun, Ronen Basri"
A Semi-Supervised Assessor of Neural Architectures,"Yehui Tang, Yunhe Wang, Yixing Xu, Hanting Chen, Boxin Shi, Chao Xu, Chunjing Xu, Qi Tian, Chang Xu"
Neural Topological SLAM for Visual Navigation,"Devendra Singh Chaplot, Ruslan Salakhutdinov, Abhinav Gupta, Saurabh Gupta"
Deep Spatial Gradient and Temporal Depth Learning for Face Anti-Spoofing,"Zezheng Wang, Zitong Yu, Chenxu Zhao, Xiangyu Zhu, Yunxiao Qin, Qiusheng Zhou, Feng Zhou, Zhen Lei"
Proxy Anchor Loss for Deep Metric Learning,"Sungyeon Kim, Dongwon Kim, Minsu Cho, Suha Kwak"
Generalized ODIN: Detecting Out-of-Distribution Image Without Learning From Out-of-Distribution Data,"Yen-Chang Hsu, Yilin Shen, Hongxia Jin, Zsolt Kira"
Instance-Aware Image Colorization,"Jheng-Wei Su, Hung-Kuo Chu, Jia-Bin Huang"
Universal Litmus Patterns: Revealing Backdoor Attacks in CNNs,"Soheil Kolouri, Aniruddha Saha, Hamed Pirsiavash, Heiko Hoffmann"
Sequential Motif Profiles and Topological Plots for Offline Signature Verification,"Elias N. Zois, Evangelos Zervas, Dimitrios Tsourounis, George Economou"
ReDA:Reinforced Differentiable Attribute for 3D Face Reconstruction,"Wenbin Zhu, HsiangTao Wu, Zeyu Chen, Noranart Vesdapunt, Baoyuan Wang"
PQ-NET: A Generative Part Seq2Seq Network for 3D Shapes,"Rundi Wu, Yixin Zhuang, Kai Xu, Hao Zhang, Baoquan Chen"
DOPS: Learning to Detect 3D Objects and Predict Their 3D Shapes,"Mahyar Najibi, Guangda Lai, Abhijit Kundu, Zhichao Lu, Vivek Rathod, Thomas Funkhouser, Caroline Pantofaru, David Ross, Larry S. Davis, Alireza Fathi"
Towards Global Explanations of Convolutional Neural Networks With Concept Attribution,"Weibin Wu, Yuxin Su, Xixian Chen, Shenglin Zhao, Irwin King, Michael R. Lyu, Yu-Wing Tai"
Extreme Relative Pose Network Under Hybrid Representations,"Zhenpei Yang, Siming Yan, Qixing Huang"
Multimodal Categorization of Crisis Events in Social Media,"Mahdi Abavisani, Liwei Wu, Shengli Hu, Joel Tetreault, Alejandro Jaimes"
Cross-Domain Face Presentation Attack Detection via Multi-Domain Disentangled Representation Learning,"Guoqing Wang, Hu Han, Shiguang Shan, Xilin Chen"
Single-Image HDR Reconstruction by Learning to Reverse the Camera Pipeline,"Yu-Lun Liu, Wei-Sheng Lai, Yu-Sheng Chen, Yi-Lung Kao, Ming-Hsuan Yang, Yung-Yu Chuang, Jia-Bin Huang"
Physically Realizable Adversarial Examples for LiDAR Object Detection,"James Tu, Mengye Ren, Sivabalan Manivasagam, Ming Liang, Bin Yang, Richard Du, Frank Cheng, Raquel Urtasun"
Time Flies: Animating a Still Image With Time-Lapse Video As Reference,"Chia-Chi Cheng, Hung-Yu Chen, Wei-Chen Chiu"
Learning to Observe: Approximating Human Perceptual Thresholds for Detection of Suprathreshold Image Transformations,"Alan Dolhasz, Carlo Harvey, Ian Williams"
STEFANN: Scene Text Editor Using Font Adaptive Neural Network,"Prasun Roy, Saumik Bhattacharya, Subhankar Ghosh, Umapada Pal"
PandaNet: Anchor-Based Single-Shot Multi-Person 3D Pose Estimation,"Abdallah Benzine, Florian Chabot, Bertrand Luvison, Quoc Cuong Pham, Catherine Achard"
MEBOW: Monocular Estimation of Body Orientation in the Wild,"Chenyan Wu, Yukun Chen, Jiajia Luo, Che-Chun Su, Anuja Dawane, Bikramjot Hanzra, Zhuo Deng, Bilan Liu, James Z. Wang, Cheng-hao Kuo"
SwapText: Image Based Texts Transfer in Scenes,"Qiangpeng Yang, Jun Huang, Wei Lin"
Modeling the Background for Incremental Learning in Semantic Segmentation,"Fabio Cermelli, Massimiliano Mancini, Samuel Rota Bulo, Elisa Ricci, Barbara Caputo"
Depth Sensing Beyond LiDAR Range,"Kai Zhang, Jiaxin Xie, Noah Snavely, Qifeng Chen"
MetaFuse: A Pre-trained Fusion Model for Human Pose Estimation,"Rongchang Xie, Chunyu Wang, Yizhou Wang"
F-BRS: Rethinking Backpropagating Refinement for Interactive Segmentation,"Konstantin Sofiiuk, Ilia Petrov, Olga Barinova, Anton Konushin"
BlendedMVS: A Large-Scale Dataset for Generalized Multi-View Stereo Networks,"Yao Yao, Zixin Luo, Shiwei Li, Jingyang Zhang, Yufan Ren, Lei Zhou, Tian Fang, Long Quan"
Local-Global Video-Text Interactions for Temporal Grounding,"Jonghwan Mun, Minsu Cho, Bohyung Han"
Steering Self-Supervised Feature Learning Beyond Local Pixel Statistics,"Simon Jenni, Hailin Jin, Paolo Favaro"
Learning to Detect Important People in Unlabelled Images for Semi-Supervised Important People Detection,"Fa-Ting Hong, Wei-Hong Li, Wei-Shi Zheng"
MotionNet: Joint Perception and Motion Prediction for Autonomous Driving Based on Bird's Eye View Maps,"Pengxiang Wu, Siheng Chen, Dimitris N. Metaxas"
Weakly-Supervised Mesh-Convolutional Hand Reconstruction in the Wild,"Dominik Kulon, Riza Alp Guler, Iasonas Kokkinos, Michael M. Bronstein, Stefanos Zafeiriou"
Fixed-Point Back-Propagation Training,"Xishan Zhang, Shaoli Liu, Rui Zhang, Chang Liu, Di Huang, Shiyi Zhou, Jiaming Guo, Qi Guo, Zidong Du, Tian Zhi, Yunji Chen"
Improving Action Segmentation via Graph-Based Temporal Reasoning,"Yifei Huang, Yusuke Sugano, Yoichi Sato"
Reinforced Feature Points: Optimizing Feature Detection and Description for a High-Level Task,"Aritra Bhowmik, Stefan Gumhold, Carsten Rother, Eric Brachmann"
Zero-Assignment Constraint for Graph Matching With Outliers,"Fudong Wang, Nan Xue, Jin-Gang Yu, Gui-Song Xia"
DeepEMD: Few-Shot Image Classification With Differentiable Earth Mover's Distance and Structured Classifiers,"Chi Zhang, Yujun Cai, Guosheng Lin, Chunhua Shen"
ProAlignNet: Unsupervised Learning for Progressively Aligning Noisy Contours,"VSR Veeravasarapu, Abhishek Goel, Deepak Mittal, Maneesh Singh"
"AvatarMe: Realistically Renderable 3D Facial Reconstruction ""In-the-Wild""","Alexandros Lattas, Stylianos Moschoglou, Baris Gecer, Stylianos Ploumpis, Vasileios Triantafyllou, Abhijeet Ghosh, Stefanos Zafeiriou"
Conditional Gaussian Distribution Learning for Open Set Recognition,"Xin Sun, Zhenning Yang, Chi Zhang, Keck-Voon Ling, Guohao Peng"
Attentive Normalization for Conditional Image Generation,"Yi Wang, Ying-Cong Chen, Xiangyu Zhang, Jian Sun, Jiaya Jia"
Generalized Product Quantization Network for Semi-Supervised Image Retrieval,"Young Kyun Jang, Nam Ik Cho"
D2Det: Towards High Quality Object Detection and Instance Segmentation,"Jiale Cao, Hisham Cholakkal, Rao Muhammad Anwer, Fahad Shahbaz Khan, Yanwei Pang, Ling Shao"
Learning by Analogy: Reliable Supervision From Transformations for Unsupervised Optical Flow Estimation,"Liang Liu, Jiangning Zhang, Ruifei He, Yong Liu, Yabiao Wang, Ying Tai, Donghao Luo, Chengjie Wang, Jilin Li, Feiyue Huang"
Extremely Dense Point Correspondences Using a Learned Feature Descriptor,"Xingtong Liu, Yiping Zheng, Benjamin Killeen, Masaru Ishii, Gregory D. Hager, Russell H. Taylor, Mathias Unberath"
Rethinking Classification and Localization for Object Detection,"Yue Wu, Yinpeng Chen, Lu Yuan, Zicheng Liu, Lijuan Wang, Hongzhi Li, Yun Fu"
Towards Better Generalization: Joint Depth-Pose Learning Without PoseNet,"Wang Zhao, Shaohui Liu, Yezhi Shu, Yong-Jin Liu"
Gate-Shift Networks for Video Action Recognition,"Swathikiran Sudhakaran, Sergio Escalera, Oswald Lanz"
Two-Stage Peer-Regularized Feature Recombination for Arbitrary Image Style Transfer,"Jan Svoboda, Asha Anoosheh, Christian Osendorfer, Jonathan Masci"
Quasi-Newton Solver for Robust Non-Rigid Registration,"Yuxin Yao, Bailin Deng, Weiwei Xu, Juyong Zhang"
CRNet: Cross-Reference Networks for Few-Shot Segmentation,"Weide Liu, Chi Zhang, Guosheng Lin, Fayao Liu"
Synthetic Learning: Learn From Distributed Asynchronized Discriminator GAN Without Sharing Medical Image Data,"Qi Chang, Hui Qu, Yikai Zhang, Mert Sabuncu, Chao Chen, Tong Zhang, Dimitris N. Metaxas"
Multi-Scale Progressive Fusion Network for Single Image Deraining,"Kui Jiang, Zhongyuan Wang, Peng Yi, Chen Chen, Baojin Huang, Yimin Luo, Jiayi Ma, Junjun Jiang"
Space-Time-Aware Multi-Resolution Video Enhancement,"Muhammad Haris, Greg Shakhnarovich, Norimichi Ukita"
BEDSR-Net: A Deep Shadow Removal Network From a Single Document Image,"Yun-Hsuan Lin, Wen-Chin Chen, Yung-Yu Chuang"
Three-Dimensional Reconstruction of Human Interactions,"Mihai Fieraru, Mihai Zanfir, Elisabeta Oneata, Alin-Ionut Popa, Vlad Olaru, Cristian Sminchisescu"
METAL: Minimum Effort Temporal Activity Localization in Untrimmed Videos,"Da Zhang, Xiyang Dai, Yuan-Fang Wang"
Label Decoupling Framework for Salient Object Detection,"Jun Wei, Shuhui Wang, Zhe Wu, Chi Su, Qingming Huang, Qi Tian"
Real-Time Panoptic Segmentation From Dense Detections,"Rui Hou, Jie Li, Arjun Bhargava, Allan Raventos, Vitor Guizilini, Chao Fang, Jerome Lynch, Adrien Gaidon"
Image Demoireing with Learnable Bandpass Filters,"Bolun Zheng, Shanxin Yuan, Gregory Slabaugh, Ales Leonardis"
LG-GAN: Label Guided Adversarial Network for Flexible Targeted Attack of Point Cloud Based Deep Networks,"Hang Zhou, Dongdong Chen, Jing Liao, Kejiang Chen, Xiaoyi Dong, Kunlin Liu, Weiming Zhang, Gang Hua, Nenghai Yu"
NestedVAE: Isolating Common Factors via Weak Supervision,"Matthew J. Vowels, Necati Cihan Camgoz, Richard Bowden"
Active Vision for Early Recognition of Human Actions,"Boyu Wang, Lihan Huang, Minh Hoai"
Look-Into-Object: Self-Supervised Structure Modeling for Object Recognition,"Mohan Zhou, Yalong Bai, Wei Zhang, Tiejun Zhao, Tao Mei"
Recurrent Feature Reasoning for Image Inpainting,"Jingyuan Li, Ning Wang, Lefei Zhang, Bo Du, Dacheng Tao"
Weakly-Supervised Action Localization by Generative Attention Modeling,"Baifeng Shi, Qi Dai, Yadong Mu, Jingdong Wang"
Inferring Attention Shift Ranks of Objects for Image Saliency,"Avishek Siris, Jianbo Jiao, Gary K.L. Tam, Xianghua Xie, Rynson W.H. Lau"
Harmonizing Transferability and Discriminability for Adapting Object Detectors,"Chaoqi Chen, Zebiao Zheng, Xinghao Ding, Yue Huang, Qi Dou"
Unsupervised Domain Adaptation With Hierarchical Gradient Synchronization,"Lanqing Hu, Meina Kan, Shiguang Shan, Xilin Chen"
Music Gesture for Visual Sound Separation,"Chuang Gan, Deng Huang, Hang Zhao, Joshua B. Tenenbaum, Antonio Torralba"
Unsupervised Magnification of Posture Deviations Across Subjects,"Michael Dorkenwald, Uta Buchler, Bjorn Ommer"
Learning Unsupervised Hierarchical Part Decomposition of 3D Objects From a Single RGB Image,"Despoina Paschalidou, Luc Van Gool, Andreas Geiger"
Exploring Categorical Regularization for Domain Adaptive Object Detection,"Chang-Dong Xu, Xing-Ran Zhao, Xin Jin, Xiu-Shen Wei"
PADS: Policy-Adapted Sampling for Visual Similarity Learning,"Karsten Roth, Timo Milbich, Bjorn Ommer"
Light Field Spatial Super-Resolution via Deep Combinatorial Geometry Embedding and Structural Consistency Regularization,"Jing Jin, Junhui Hou, Jie Chen, Sam Kwong"
Incremental Learning in Online Scenario,"Jiangpeng He, Runyu Mao, Zeman Shao, Fengqing Zhu"
Interactive Multi-Label CNN Learning With Partial Labels,"Dat Huynh, Ehsan Elhamifar"
Auto-Encoding Twin-Bottleneck Hashing,"Yuming Shen, Jie Qin, Jiaxin Chen, Mengyang Yu, Li Liu, Fan Zhu, Fumin Shen, Ling Shao"
Gait Recognition via Semi-supervised Disentangled Representation Learning to Identity and Covariate Features,"Xiang Li, Yasushi Makihara, Chi Xu, Yasushi Yagi, Mingwu Ren"
SketchyCOCO: Image Generation From Freehand Scene Sketches,"Chengying Gao, Qi Liu, Qi Xu, Limin Wang, Jianzhuang Liu, Changqing Zou"
Learning to Super Resolve Intensity Images From Events,"S. Mohammad Mostafavi I., Jonghyun Choi, Kuk-Jin Yoon"
Discovering Human Interactions With Novel Objects via Zero-Shot Learning,"Suchen Wang, Kim-Hui Yap, Junsong Yuan, Yap-Peng Tan"
Effectively Unbiased FID and Inception Score and Where to Find Them,"Min Jin Chong, David Forsyth"
FaceScape: A Large-Scale High Quality 3D Face Dataset and Detailed Riggable 3D Face Prediction,"Haotian Yang, Hao Zhu, Yanru Wang, Mingkai Huang, Qiu Shen, Ruigang Yang, Xun Cao"
Visual Commonsense R-CNN,"Tan Wang, Jianqiang Huang, Hanwang Zhang, Qianru Sun"
Controllable Orthogonalization in Training DNNs,"Lei Huang, Li Liu, Fan Zhu, Diwen Wan, Zehuan Yuan, Bo Li, Ling Shao"
Cross-View Tracking for Multi-Human 3D Pose Estimation at Over 100 FPS,"Long Chen, Haizhou Ai, Rui Chen, Zijie Zhuang, Shuang Liu"
Squeeze-and-Attention Networks for Semantic Segmentation,"Zilong Zhong, Zhong Qiu Lin, Rene Bidart, Xiaodan Hu, Ibrahim Ben Daya, Zhifeng Li, Wei-Shi Zheng, Jonathan Li, Alexander Wong"
Interpreting the Latent Space of GANs for Semantic Face Editing,"Yujun Shen, Jinjin Gu, Xiaoou Tang, Bolei Zhou"
ADINet: Attribute Driven Incremental Network for Retinal Image Classification,"Qier Meng, Satoh Shin'ichi"
UNAS: Differentiable Architecture Search Meets Reinforcement Learning,"Arash Vahdat, Arun Mallya, Ming-Yu Liu, Jan Kautz"
Tracking by Instance Detection: A Meta-Learning Approach,"Guangting Wang, Chong Luo, Xiaoyan Sun, Zhiwei Xiong, Wenjun Zeng"
Foreground-Aware Relation Network for Geospatial Object Segmentation in High Spatial Resolution Remote Sensing Imagery,"Zhuo Zheng, Yanfei Zhong, Junjue Wang, Ailong Ma"
Multiple Anchor Learning for Visual Object Detection,"Wei Ke, Tianliang Zhang, Zeyi Huang, Qixiang Ye, Jianzhuang Liu, Dong Huang"
Learned Image Compression With Discretized Gaussian Mixture Likelihoods and Attention Modules,"Zhengxue Cheng, Heming Sun, Masaru Takeuchi, Jiro Katto"
Single-View View Synthesis With Multiplane Images,"Richard Tucker, Noah Snavely"
Explaining Knowledge Distillation by Quantifying the Knowledge,"Xu Cheng, Zhefan Rao, Yilan Chen, Quanshi Zhang"
PointGroup: Dual-Set Point Grouping for 3D Instance Segmentation,"Li Jiang, Hengshuang Zhao, Shaoshuai Shi, Shu Liu, Chi-Wing Fu, Jiaya Jia"
"Select, Supplement and Focus for RGB-D Saliency Detection","Miao Zhang, Weisong Ren, Yongri Piao, Zhengkun Rong, Huchuan Lu"
Unifying Training and Inference for Panoptic Segmentation,"Qizhu Li, Xiaojuan Qi, Philip H.S. Torr"
Semantic Drift Compensation for Class-Incremental Learning,"Lu Yu, Bartlomiej Twardowski, Xialei Liu, Luis Herranz, Kai Wang, Yongmei Cheng, Shangling Jui, Joost van de Weijer"
Towards Discriminability and Diversity: Batch Nuclear-Norm Maximization Under Label Insufficient Situations,"Shuhao Cui, Shuhui Wang, Junbao Zhuo, Liang Li, Qingming Huang, Qi Tian"
Scalable Uncertainty for Computer Vision With Functional Variational Inference,"Eduardo D. C. Carvalho, Ronald Clark, Andrea Nicastro, Paul H. J. Kelly"
Generating 3D People in Scenes Without People,"Yan Zhang, Mohamed Hassan, Heiko Neumann, Michael J. Black, Siyu Tang"
4D Association Graph for Realtime Multi-Person Motion Capture Using Multiple Video Cameras,"Yuxiang Zhang, Liang An, Tao Yu, Xiu Li, Kun Li, Yebin Liu"
X-Linear Attention Networks for Image Captioning,"Yingwei Pan, Ting Yao, Yehao Li, Tao Mei"
Computing Valid P-Values for Image Segmentation by Selective Inference,"Kosuke Tanizaki, Noriaki Hashimoto, Yu Inatsu, Hidekata Hontani, Ichiro Takeuchi"
SDC-Depth: Semantic Divide-and-Conquer Network for Monocular Depth Estimation,"Lijun Wang, Jianming Zhang, Oliver Wang, Zhe Lin, Huchuan Lu"
You2Me: Inferring Body Pose in Egocentric Video via First and Second Person Interactions,"Evonne Ng, Donglai Xiang, Hanbyul Joo, Kristen Grauman"
Recursive Least-Squares Estimator-Aided Online Learning for Visual Tracking,"Jin Gao, Weiming Hu, Yan Lu"
Meshlet Priors for 3D Mesh Reconstruction,"Abhishek Badki, Orazio Gallo, Jan Kautz, Pradeep Sen"
Estimating Low-Rank Region Likelihood Maps,"Gabriela Csurka, Zoltan Kato, Andor Juhasz, Martin Humenberger"
End-to-End Pseudo-LiDAR for Image-Based 3D Object Detection,"Rui Qian, Divyansh Garg, Yan Wang, Yurong You, Serge Belongie, Bharath Hariharan, Mark Campbell, Kilian Q. Weinberger, Wei-Lun Chao"
"Transferable, Controllable, and Inconspicuous Adversarial Attacks on Person Re-identification With Deep Mis-Ranking","Hongjun Wang, Guangrun Wang, Ya Li, Dongyu Zhang, Liang Lin"
ABCNet: Real-Time Scene Text Spotting With Adaptive Bezier-Curve Network,"Yuliang Liu, Hao Chen, Chunhua Shen, Tong He, Lianwen Jin, Liangwei Wang"
A Quantum Computational Approach to Correspondence Problems on Point Sets,"Vladislav Golyanik, Christian Theobalt"
More Grounded Image Captioning by Distilling Image-Text Matching Model,"Yuanen Zhou, Meng Wang, Daqing Liu, Zhenzhen Hu, Hanwang Zhang"
FeatureFlow: Robust Video Interpolation via Structure-to-Texture Generation,"Shurui Gui, Chaoyue Wang, Qihua Chen, Dacheng Tao"
High-Frequency Component Helps Explain the Generalization of Convolutional Neural Networks,"Haohan Wang, Xindi Wu, Zeyi Huang, Eric P. Xing"
Leveraging Photometric Consistency Over Time for Sparsely Supervised Hand-Object Reconstruction,"Yana Hasson, Bugra Tekin, Federica Bogo, Ivan Laptev, Marc Pollefeys, Cordelia Schmid"
Attention-Guided Hierarchical Structure Aggregation for Image Matting,"Yu Qiao, Yuhao Liu, Xin Yang, Dongsheng Zhou, Mingliang Xu, Qiang Zhang, Xiaopeng Wei"
Rotate-and-Render: Unsupervised Photorealistic Face Rotation From Single-View Images,"Hang Zhou, Jihao Liu, Ziwei Liu, Yu Liu, Xiaogang Wang"
Scene Recomposition by Learning-Based ICP,"Hamid Izadinia, Steven M. Seitz"
SharinGAN: Combining Synthetic and Real Data for Unsupervised Geometry Estimation,"Koutilya PNVR, Hao Zhou, David Jacobs"
Scene-Adaptive Video Frame Interpolation via Meta-Learning,"Myungsub Choi, Janghoon Choi, Sungyong Baik, Tae Hyun Kim, Kyoung Mu Lee"
JL-DCF: Joint Learning and Densely-Cooperative Fusion Framework for RGB-D Salient Object Detection,"Keren Fu, Deng-Ping Fan, Ge-Peng Ji, Qijun Zhao"
Large-Scale Object Detection in the Wild From Imbalanced Multi-Labels,"Junran Peng, Xingyuan Bu, Ming Sun, Zhaoxiang Zhang, Tieniu Tan, Junjie Yan"
On the Distribution of Minima in Intrinsic-Metric Rotation Averaging,"Kyle Wilson, David Bindel"
Inflated Episodic Memory With Region Self-Attention for Long-Tailed Visual Recognition,"Linchao Zhu, Yi Yang"
AugFPN: Improving Multi-Scale Feature Learning for Object Detection,"Chaoxu Guo, Bin Fan, Qian Zhang, Shiming Xiang, Chunhong Pan"
Explainable Object-Induced Action Decision for Autonomous Vehicles,"Yiran Xu, Xiaoyin Yang, Lihang Gong, Hsuan-Chu Lin, Tz-Ying Wu, Yunsheng Li, Nuno Vasconcelos"
Learning to Select Base Classes for Few-Shot Classification,"Linjun Zhou, Peng Cui, Xu Jia, Shiqiang Yang, Qi Tian"
Deep Residual Flow for Out of Distribution Detection,"Ev Zisselman, Aviv Tamar"
DLWL: Improving Detection for Lowshot Classes With Weakly Labelled Data,"Vignesh Ramanathan, Rui Wang, Dhruv Mahajan"
Attention-Based Context Aware Reasoning for Situation Recognition,"Thilini Cooray, Ngai-Man Cheung, Wei Lu"
Don't Judge an Object by Its Context: Learning to Overcome Contextual Bias,"Krishna Kumar Singh, Dhruv Mahajan, Kristen Grauman, Yong Jae Lee, Matt Feiszli, Deepti Ghadiyaram"
Robust Partial Matching for Person Search in the Wild,"Yingji Zhong, Xiaoyu Wang, Shiliang Zhang"
Towards Verifying Robustness of Neural Networks Against A Family of Semantic Perturbations,"Jeet Mohapatra, Tsui-Wei Weng, Pin-Yu Chen, Sijia Liu, Luca Daniel"
SEED: Semantics Enhanced Encoder-Decoder Framework for Scene Text Recognition,"Zhi Qiao, Yu Zhou, Dongbao Yang, Yucan Zhou, Weiping Wang"
Watch Your Up-Convolution: CNN Based Generative Deep Neural Networks Are Failing to Reproduce Spectral Distributions,"Ricard Durall, Margret Keuper, Janis Keuper"
Background Matting: The World Is Your Green Screen,"Soumyadip Sengupta, Vivek Jayaram, Brian Curless, Steven M. Seitz, Ira Kemelmacher-Shlizerman"
Iterative Answer Prediction With Pointer-Augmented Multimodal Transformers for TextVQA,"Ronghang Hu, Amanpreet Singh, Trevor Darrell, Marcus Rohrbach"
The Devil Is in the Details: Delving Into Unbiased Data Processing for Human Pose Estimation,"Junjie Huang, Zheng Zhu, Feng Guo, Guan Huang"
Learning to Simulate Dynamic Environments With GameGAN,"Seung Wook Kim, Yuhao Zhou, Jonah Philion, Antonio Torralba, Sanja Fidler"
iTAML: An Incremental Task-Agnostic Meta-learning Approach,"Jathushan Rajasegaran, Salman Khan, Munawar Hayat, Fahad Shahbaz Khan, Mubarak Shah"
GraphTER: Unsupervised Learning of Graph Transformation Equivariant Representations via Auto-Encoding Node-Wise Transformations,"Xiang Gao, Wei Hu, Guo-Jun Qi"
Active 3D Motion Visualization Based on Spatiotemporal Light-Ray Integration,"Fumihiko Sakaue, Jun Sato"
Open Compound Domain Adaptation,"Ziwei Liu, Zhongqi Miao, Xingang Pan, Xiaohang Zhan, Dahua Lin, Stella X. Yu, Boqing Gong"
UC-Net: Uncertainty Inspired RGB-D Saliency Detection via Conditional Variational Autoencoders,"Jing Zhang, Deng-Ping Fan, Yuchao Dai, Saeed Anwar, Fatemeh Sadat Saleh, Tong Zhang, Nick Barnes"
Neural Networks Are More Productive Teachers Than Human Raters: Active Mixup for Data-Efficient Knowledge Distillation From a Blackbox Model,"Dongdong Wang, Yandong Li, Liqiang Wang, Boqing Gong"
GrappaNet: Combining Parallel Imaging With Deep Learning for Multi-Coil MRI Reconstruction,"Anuroop Sriram, Jure Zbontar, Tullie Murrell, C. Lawrence Zitnick, Aaron Defazio, Daniel K. Sodickson"
4D Visualization of Dynamic Events From Unconstrained Multi-View Videos,"Aayush Bansal, Minh Vo, Yaser Sheikh, Deva Ramanan, Srinivasa Narasimhan"
